ACCTTYPE,SF,X,Y
Residential,1216,-104.6842059,40.37772491
Residential,1216,-104.6842206,40.37782567
Residential,1216,-104.6842121,40.37803302
Residential,1216,-104.684205,40.37812905
Residential,1216,-104.684534,40.37763419
Residential,1216,-104.6845269,40.37773022
Residential,1216,-104.6845416,40.37783098
Residential,1216,-104.6845345,40.37792701
Residential,1088,-104.6845331,40.37803833
Residential,1088,-104.6824951,40.37839171
Residential,1088,-104.6826222,40.3783907
Residential,1088,-104.6827554,40.37840403
Residential,1088,-104.6828825,40.37840302
Residential,1216,-104.6830047,40.37839912
Residential,1216,-104.6831343,40.37840479
Residential,1216,-104.6832701,40.37840575
Residential,1216,-104.6833973,40.37840474
Residential,1216,-104.6835293,40.37840948
Residential,1216,-104.683649,40.37840651
Residential,1152,-104.6837898,40.37840751
Residential,1216,-104.683917,40.37840649
Residential,1216,-104.684049,40.37841124
Residential,1216,-104.6841687,40.37840827
Residential,1152,-104.6843046,40.37840922
Residential,1216,-104.6844317,40.37840821
Residential,1216,-104.6845638,40.37841295
Residential,1034,-104.6846835,40.37840998
Residential,1271,-104.7336764,40.52330713
Residential,750,-104.7352063,40.52122308
Residential,1487,-104.7357252,40.52073767
Residential,1487,-104.7434983,40.58854116
Residential,1487,-104.7432722,40.5885397
Residential,1487,-104.7420229,40.58854269
Residential,1487,-104.7437436,40.58896975
Residential,1744,-104.7435086,40.58896441
Residential,1341,-104.7432973,40.5889783
Residential,1487,-104.7430623,40.58897296
Residential,1341,-104.742168,40.58897825
Residential,4866,-104.741923,40.58898047
Residential,4866,-104.7417883,40.58843985
Residential,3500,-104.7416366,40.58827801
Residential,3500,-104.7414886,40.58809786
Residential,6324,-104.7413276,40.5879305
Residential,4095,-104.741148,40.58853486
Residential,3701,-104.7410244,40.58840062
Residential,3937,-104.7408925,40.58826178
Residential,1568,-104.7404847,40.58780306
Residential,5788,-104.7409142,40.58875902
Residential,1790,-104.7407417,40.58854059
Residential,1554,-104.7408258,40.58899063
Residential,5250,-104.7404805,40.58900744
Residential,11559,-104.7395374,40.58961002
Residential,21521,-104.7395303,40.58941857
Residential,24581,-104.739523,40.5892185
Residential,2695,-104.7394852,40.5885061
Residential,1528,-104.7394722,40.58833064
Residential,1239,-104.7394641,40.58815521
Residential,1528,-104.7394518,40.58798279
Residential,672,-104.7394439,40.58780355
Residential,3000,-104.7395141,40.58905147
Residential,1344,-104.739507,40.58886002
Residential,2034,-104.7394989,40.58869222
Residential,1453,-104.740136,40.58933385
Residential,1880,-104.740114,40.58913467
Residential,3937,-104.740091,40.58895534
Residential,1744,-104.7400634,40.58785335
Residential,1744,-104.7437428,40.58926312
Residential,1744,-104.7435143,40.58925376
Residential,1744,-104.7432945,40.58925267
Residential,1487,-104.7430643,40.58926261
Residential,1487,-104.7428502,40.58926516
Residential,1487,-104.7426174,40.58927486
Residential,1744,-104.742404,40.58926178
Residential,1487,-104.7421838,40.5892756
Residential,4060,-104.7419197,40.58927401
Residential,1641,-104.7414117,40.58928687
Residential,4132,-104.7411867,40.58928159
Residential,2043,-104.7409981,40.58928773
Residential,6493,-104.740818,40.58928656
Residential,1747,-104.7406288,40.58929308
Residential,10364,-104.7404388,40.58929565
Residential,174,-104.7438661,40.58969546
Residential,1200,-104.743662,40.58969808
